week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,popularity
30-10-16,23,25194007.33,Something Rotten!,St. James Theatre,494814,1437800,80.37,277,6157,1667,0.4617,8,0,good
28-02-16,40,20011009.78,Finding Neverland,Lunt-Fontanne Theatre,455736.5,1476000,74.99,225,6077,1504,0.5051,8,0,good
28-02-16,40,20011009.78,The Phantom of the Opera,Majestic Theatre,518383.6,1514575,79.18,200,6547,1605,0.5099,8,0,good
15-05-16,51,26269814.35,Finding Neverland,Lunt-Fontanne Theatre,475047.5,1476000,76.36,225,6221,1504,0.517,8,0,good
06-03-16,41,20679970.73,The Phantom of the Opera,Majestic Theatre,552228.61,1514575,81.93,200,6740,1605,0.5249,8,0,good
06-05-18,50,36994026.79,The Play That Goes Wrong,Lyceum Theatre,241751.16,677688,66.29,197,3647,854,0.5338,8,0,good
07-02-16,37,21024819.67,Jersey Boys,August Wilson Theatre,465911.5,1151143,87.86,199,5303,1228,0.5398,8,0,good
28-02-16,40,20011009.78,Jersey Boys,August Wilson Theatre,482601.5,1151143,89.14,199,5414,1228,0.5511,8,0,good
06-11-16,24,25378948.08,Something Rotten!,St. James Theatre,548653,1405200,78.42,277,6996,1586,0.5516,8,0,good
21-08-16,13,23009994.04,Jersey Boys,August Wilson Theatre,478475,1151143,86.93,199,5504,1228,0.5603,8,0,good
08-05-16,50,27579172.93,Something Rotten!,St. James Theatre,565473,1405200,79.55,252,7108,1586,0.5604,8,0,good
11-02-18,38,22018577.15,School of Rock - The Musical,Winter Garden Theatre,527703.12,1443688,77,248,6853,1523,0.5625,8,0,good
04-03-18,41,26316392.79,School of Rock - The Musical,Winter Garden Theatre,568211.16,1443688,82.16,248,6916,1523,0.5676,8,0,good
06-03-16,41,20679970.73,Jersey Boys,August Wilson Theatre,490591,1151143,87.5,199,5607,1228,0.5707,8,0,good
08-05-16,50,27579172.93,Finding Neverland,Lunt-Fontanne Theatre,527545,1476000,76.42,225,6903,1504,0.5737,8,0,good
28-08-16,14,21495765.02,Jersey Boys,August Wilson Theatre,484471,1151143,85.28,199,5681,1228,0.5783,8,0,good
04-11-18,23,33078711.53,The Play That Goes Wrong,Lyceum Theatre,226490.5,677688,57.21,197,3959,854,0.5795,8,0,good
08-05-16,50,27579172.93,Jersey Boys,August Wilson Theatre,520424.78,1151143,91.29,199,5701,1228,0.5803,8,0,good
10-04-16,46,26894099.17,Jersey Boys,August Wilson Theatre,495097.88,1151143,86.68,199,5712,1228,0.5814,8,0,good
24-01-16,35,15977957.72,Jersey Boys,August Wilson Theatre,344020.79,834464,79.93,199,4304,1228,0.5841,6,0,good
10-07-16,7,24862657.43,Jersey Boys,August Wilson Theatre,489254.5,1151143,85.21,199,5742,1228,0.5845,8,0,good
09-09-18,15,29524979.46,School of Rock - The Musical,Winter Garden Theatre,538499.98,1443688,75.28,223,7153,1523,0.5871,8,0,good
24-04-16,48,27121277.4,Jersey Boys,August Wilson Theatre,531075.67,1151143,91.88,199,5780,1228,0.5884,8,0,good
24-09-17,18,23991938.61,School of Rock - The Musical,Winter Garden Theatre,606236.11,1445048,84.36,248,7186,1523,0.5898,8,0,good
24-01-16,35,15977957.72,The Phantom of the Opera,Majestic Theatre,397768.7,1124515,69.99,200,5683,1605,0.5901,6,0,good
17-04-16,47,27177086.08,Jersey Boys,August Wilson Theatre,525127.27,1151143,90.38,199,5810,1228,0.5914,8,0,good
05-06-16,2,27019162.62,Jersey Boys,August Wilson Theatre,505460.89,1151143,86.8,199,5823,1228,0.5927,8,0,good
11-02-18,38,22018577.15,The Play That Goes Wrong,Lyceum Theatre,237857.5,677688,58.59,197,4060,854,0.5943,8,0,good
12-02-17,38,19809375.55,The Phantom of the Opera,Majestic Theatre,648786.4,1359908,84.18,203,7707,1605,0.6002,8,0,good
07-08-16,11,24062535.05,Jersey Boys,August Wilson Theatre,519934,1151143,87.92,199,5914,1228,0.602,8,0,good
15-05-16,51,26269814.35,Something Rotten!,St. James Theatre,645190.5,1405200,84.45,252,7640,1586,0.6023,8,0,good
17-01-16,34,26239268.38,The Phantom of the Opera,Majestic Theatre,635768.6,1514575,81.77,200,7775,1605,0.6055,8,0,good
19-06-16,4,28229255.81,Jersey Boys,August Wilson Theatre,534078.8,1151143,89.58,199,5962,1228,0.6069,8,0,good
